RegisterNumber,Name,Department,Program
SJC/24/CIVIL/354,Pavana Malhotra,CIVIL,B.Tech
SJC/24/CIVIL/355,Quincy Mishra,CIVIL,B.Tech
SJC/24/CIVIL/356,Rajesh Pandey,CIVIL,B.Tech
SJC/24/CIVIL/357,Sameer Rao,CIVIL,M.Tech
SJC/24/CIVIL/358,Tanvi Saxena,CIVIL,B.Tech
SJC/24/CIVIL/359,Uday Tripathi,CIVIL,B.Tech
SJC/24/CIVIL/360,Varun Upadhyay,CIVIL,B.Tech
SJC/24/EEE/361,Aarav Reddy,EEE,B.Tech
SJC/24/EEE/362,Vivaan Nair,EEE,B.Tech
SJC/24/EEE/363,Arjun Bhat,EEE,MCA
SJC/24/EEE/364,Rohan Desai,EEE,B.Tech
SJC/24/EEE/365,Aditya Iyer,EEE,B.Tech
SJC/24/EEE/366,Priya Joshi,EEE,B.Tech
SJC/24/EEE/367,Anjali Kapoor,EEE,M.Tech
SJC/24/EEE/368,Sneha Malhotra,EEE,B.Tech
SJC/24/EEE/369,Ravi Mishra,EEE,B.Tech
SJC/24/EEE/370,Amit Pandey,EEE,B.Tech
